id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate
2929,22nd week,West Bengal,Bankura,Cholera,49.0,0,31,5,2016,23.13195425,87.2073972,0.332066823,8.0,307.275,Diarrheal Diseases,0.0
2930,22nd week,West Bengal,Purulia,Cholera,30.0,0,5,6,2016,23.3291882,86.3672378,0.459805292,7.0,308.668,Diarrheal Diseases,0.0
2931,22nd week,West Bengal,Purulia,Cholera,96.0,0,1,6,2016,23.3291882,86.3672378,0.310051708,9.0,309.67,Diarrheal Diseases,0.0
2932,22nd week,West Bengal,South 24 Parganas,Cholera,26.0,0,1,6,2016,22.5760669,88.42006758,0.158699315,13.5,304.075,Diarrheal Diseases,0.0
2933,22nd week,Assam,Sivasagar,Cholera,235.0,1,22,5,2016,26.9834936,94.6394226,1.842831286,16.0,299.18,Diarrheal Diseases,0.00423728813559322
2934,22nd week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,3.0,1,24,5,2016,26.1486581,85.34001282,0.171422173,6.0,306.98,Encephalitis,0.25
2935,22nd week,Karnataka,Bijapur,Cholera,86.0,0,6,3,2016,16.8269911,75.7175387,0.084928105,4.0,311.212,Diarrheal Diseases,0.0
2936,22nd week,Kerala,Ernakulam,Dengue,16.0,0,22,4,2016,9.98408,76.2741457,0.236657888,26.0,302.41,Dengue,0.0
2937,22nd week,Kerala,Ernakulam,Dengue,9.0,0,23,5,2016,9.98408,76.2741457,1.151594675,19.5,304.9,Dengue,0.0
2938,22nd week,Kerala,Idukki,Dengue,29.0,1,19,5,2016,9.8497872,76.9797914,0.997452515,34.0,300.26,Dengue,0.03333333333333333
2939,22nd week,Kerala,Kollam,Dengue,13.0,2,2,5,2016,8.8879509,76.5955013,0.148863651,20.0,303.78,Dengue,0.14285714285714285
2940,22nd week,Madhya Pradesh,Hoshangabad,Acute Diarrhoeal Disease,13.0,1,18,5,2016,22.6001502,77.92664521,0.000952491,7.0,320.404,Diarrheal Diseases,0.07142857142857142
2941,22nd week,Madhya Pradesh,Sagar,Acute Diarrhoeal Disease,25.0,1,20,5,2016,23.80961225,78.75911361,4.03e-05,4.0,320.7966666,Diarrheal Diseases,0.038461538461538464
2942,22nd week,Maharashtra,Raigad,Chikungunya,9.0,0,4,5,2016,18.4928092,73.13807095,0.001138335,9.0,316.05,Chikungunya,0.0
2943,22nd week,Uttar Pradesh,Kannauj,Acute Diarrhoeal Disease,49.0,2,25,5,2016,26.9996974,79.68861213,0.023582711,4.0,310.36,Diarrheal Diseases,0.04
2944,22nd week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,113.0,1,28,5,2016,22.3599134,87.41331448,0.091119744,11.0,299.8333334,Diarrheal Diseases,0.008771929824561403
2945,22nd week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,35.0,1,25,5,2016,22.3599134,87.41331448,0.747479583,11.0,304.8,Diarrheal Diseases,0.027777777777777776
2946,22nd week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,19.0,0,22,5,2016,22.5760669,88.42006758,1.207549647,8.0,302.65,Diarrheal Diseases,0.0
2947,23rd week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,34.0,0,11,6,2016,15.8309251,78.0425373,0.61201615,5.0,308.54,Diarrheal Diseases,0.0
2948,23rd week,Bihar,Jamui,Acute Diarrhoeal Disease,11.0,1,5,6,2016,24.96785205,86.17351147,0.266062284,7.0,310.3,Diarrheal Diseases,0.08333333333333333
2949,23rd week,Chandigarh,Chandigarh,Cholera,31.0,0,9,6,2016,30.72984395,76.78414567,0.083766744,6.0,309.1366666,Diarrheal Diseases,0.0
2950,23rd week,Gujarat,Banaskantha,Acute Diarrhoeal Disease,14.0,0,8,6,2016,24.172056,72.431134,4.93e-05,6.0,318.31,Diarrheal Diseases,0.0
2951,23rd week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,28.0,1,5,6,2016,23.2232877,72.6492267,0.001888167,4.0,315.8866666,Diarrheal Diseases,0.034482758620689655
2952,23rd week,Haryana,Kaithal,Acute Diarrhoeal Disease,28.0,0,10,6,2016,29.82282075,76.37830987,0.040987583,2.0,309.2766666,Diarrheal Diseases,0.0
2953,23rd week,Karnataka,Hassan,Acute Gastroenteritis,45.0,0,5,6,2016,13.0070817,76.0992703,0.772305696,7.0,297.49,Diarrheal Diseases,0.0
2954,23rd week,Karnataka,Udupi,Dengue,20.0,0,5,6,2016,13.3419169,74.7473232,1.153979421,10.0,303.3733334,Dengue,0.0
2955,23rd week,Karnataka,Kolar,Acute Diarrhoeal Disease,5.0,1,7,6,2016,13.1367201,78.1337246,0.70271688,7.0,306.68,Diarrheal Diseases,0.16666666666666666
2956,23rd week,Karnataka,Shimoga,Acute Diarrhoeal Disease,64.0,2,6,6,2016,13.9326093,75.574978,0.469057228,6.0,308.37,Diarrheal Diseases,0.03076923076923077
2957,23rd week,Karnataka,Shimoga,Dengue,14.0,2,9,6,2016,13.9326093,75.574978,0.667767886,6.0,310.22,Dengue,0.13333333333333333
2958,23rd week,Maharashtra,Jalgaon,Cholera,53.0,1,6,6,2016,20.84288265,75.52612464,0.002886903,2.0,316.0933334,Diarrheal Diseases,0.018518518518518517
2959,23rd week,Maharashtra,Nashik,Acute Diarrhoeal Disease,158.0,0,3,6,2016,20.0112475,73.7902364,0.078845986,5.0,312.912,Diarrheal Diseases,0.0
2960,23rd week,Maharashtra,Osmanabad,Acute Diarrhoeal Disease,55.0,1,3,6,2016,18.16984395,76.11796321,0.052398343,1.0,319.288,Diarrheal Diseases,0.017857142857142856
2961,23rd week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,10.0,1,6,6,2016,20.32570375,78.11691397,0.003747749,2.0,319.7366666,Diarrheal Diseases,0.09090909090909091
2962,23rd week,Punjab,Barnala,Acute Diarrhoeal Disease,7.0,1,12,6,2016,30.3704685,75.50401742,0.052966728,2.0,310.72,Diarrheal Diseases,0.125
2963,23rd week,Rajasthan,Jodhpur,Acute Diarrhoeal Disease,24.0,1,7,6,2016,26.2967719,73.0351433,5.13e-05,2.0,326.3,Diarrheal Diseases,0.04
