id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
2308,31st week,Telangana,Kamareddy,Acute Diarrhoeal Disease,39,1,3,8,2017,18.316551,78.05393808,0.134687356,11.0,301.12,Diarrheal Diseases
2309,31st week,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,72,1,29,7,2017,25.38703085,88.50471505,0.518952154,4.0,300.96,Diarrheal Diseases
2310,31st week,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,5,2,25,7,2017,21.98934025,82.10996499,1.554666691,3.0,295.86,Diarrheal Diseases
2311,31st week,Karnataka,Bijapur,Chikungunya,18,0,26,7,2017,16.8269911,75.7175387,0.064902785,3.0,303.74,Chikungunya
2312,31st week,Puducherry,Karaikal,Dengue,32,1,24,7,2017,10.91571,79.8375761,0.018188766,9.0,311.3,Dengue
2313,31st week,Telangana,RAJANNA SIRCILLA,Dengue,135,1,4,7,2017,18.452116,78.76455837,0.256313484,9.0,303.3241667,Dengue
2314,31st week,West Bengal,Burdwan,Acute Diarrhoeal Disease,154,0,24,7,2017,23.2495714,87.8681751,1.387436199,5.0,300.53,Diarrheal Diseases
2315,31st week,West Bengal,Birbhum,Dengue,340,0,23,7,2017,24.0,87.583333,0.58138269,4.0,306.4,Dengue
2316,31st week,West Bengal,Purulia,Acute Diarrhoeal Disease,115,0,26,7,2017,23.3291882,86.3672378,1.356479216,1.0,300.925,Diarrheal Diseases
2317,32nd week,Bihar,Saharsa,Acute Diarrhoeal Disease,16,1,9,8,2017,25.83264165,86.61489283,1.031599159,5.0,292.15,Diarrheal Diseases
2318,32nd week,Chhattisgarh,Balodabazar,Acute Diarrhoeal Disease,28,2,7,8,2017,21.6542,82.1739,0.37602886,6.0,304.04,Diarrheal Diseases
2319,32nd week,Jammu and Kashmir,Baramulla,Acute Diarrhoeal Disease,13,1,6,8,2017,34.20500565,74.36221081,0.489358701,24.0,297.02,Diarrheal Diseases
2320,32nd week,Jammu and Kashmir,Pulwama,Acute Diarrhoeal Disease,31,1,5,8,2017,33.89829355,74.89634094,0.950164655,10.5,286.6633334,Diarrheal Diseases
2321,32nd week,Jharkhand,Deoghar,Acute Diarrhoeal Disease,23,1,3,8,2017,24.4766423,86.60673245,0.864363253,5.0,303.3241667,Diarrheal Diseases
2322,32nd week,Jharkhand,Lohardaga,Acute Diarrhoeal Disease,12,1,7,8,2017,23.46920055,84.73568423,1.036276621,18.0,299.84,Diarrheal Diseases
2323,32nd week,Maharashtra,Gadchiroli,Malaria,4,1,4,8,2017,19.75907035,80.16228073,0.277615659,10.5,302.9933334,Malaria
2324,32nd week,Punjab,Ludhiana,Cholera,459,1,14,8,2017,30.9090157,75.851601,0.274248247,19.0,301.36,Diarrheal Diseases
2325,32nd week,Rajasthan,Banswara,Acute Diarrhoeal Disease,8,4,8,8,2017,23.4929453,74.34983641,0.194143332,10.0,299.7,Diarrheal Diseases
2326,32nd week,Tamil Nadu,Thoothukudi,Chikungunya,29,0,6,8,2017,8.8052602,78.1452745,0.09788973,3.0,316.4866666,Chikungunya
2327,32nd week,Uttar Pradesh,Ghazipur,Acute Diarrhoeal Disease,18,0,5,8,2017,25.6035084,83.50745405,0.759718638,6.0,303.165,Diarrheal Diseases
2328,32nd week,West Bengal,Burdwan,Acute Diarrhoeal Disease,23,0,8,8,2017,23.2495714,87.8681751,0.808599007,4.0,304.14,Diarrheal Diseases
2329,32nd week,Bihar,Vaishali,Acute Diarrhoeal Disease,32,1,21,7,2017,25.95322565,85.1445776,0.439762147,6.0,305.0266666,Diarrheal Diseases
2330,32nd week,Chhattisgarh,Bemetara,Acute Diarrhoeal Disease,59,1,20,7,2017,21.6783969,81.43047623,0.689943664,1.0,307.1,Diarrheal Diseases
2331,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,53,1,4,7,2017,22.5,83.5,1.227789934,10.0,303.06,Diarrheal Diseases
2332,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,22,1,10,7,2017,22.5,83.5,0.483930524,4.0,303.06,Diarrheal Diseases
2333,32nd week,Chhattisgarh,Raigarh,Acute Gastroenteritis,25,1,19,7,2017,22.5,83.5,0.729922163,10.0,303.66,Diarrheal Diseases
2334,32nd week,Chhattisgarh,Surajpur,Malaria,1422,9,28,7,2017,23.35151515,82.97290273,2.46135401,9.0,303.3241667,Malaria
2335,32nd week,Jharkhand,Dhanbad,Acute Diarrhoeal Disease,91,0,2,7,2017,23.7952809,86.4309638,0.356663172,5.0,298.76,Diarrheal Diseases
2336,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,27,3,25,7,2017,25.1265777,83.24965577,2.029030717,2.0,303.78,Diarrheal Diseases
2337,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,15,1,29,7,2017,25.1265777,83.24965577,2.569103886,6.0,303.145,Diarrheal Diseases
2338,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,22,1,29,7,2017,25.1265777,83.24965577,2.569103886,6.0,303.145,Diarrheal Diseases
2339,32nd week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,12,1,2,8,2017,25.1265777,83.24965577,0.753458736,6.0,300.60699999999997,Diarrheal Diseases
2340,32nd week,West Bengal,North 24 Parganas,Dengue,387,1,1,8,2017,22.642931,88.8930579,0.666804578,6.0,297.82,Dengue
2341,32nd week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,18,1,1,8,2017,22.642931,88.8930579,0.666804578,6.0,297.82,Diarrheal Diseases
2342,33rd week,Bihar,Patna,Acute Diarrhoeal Disease,20,1,16,8,2017,25.6093239,85.1235252,1.268049227,5.0,277.74,Diarrheal Diseases
2343,33rd week,Chhattisgarh,Mahasamund,Cholera,39,1,16,8,2017,21.1882332,82.48484762,0.400447798,10.0,301.44,Diarrheal Diseases
2344,33rd week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,104,0,12,8,2017,34.6110236,74.23847867,0.54670738,16.0,295.42,Diarrheal Diseases
2345,33rd week,Karnataka,Vijayapura,Chikungunya,20,1,14,8,2017,16.666667,75.916667,0.336416972,3.0,309.05,Chikungunya
2346,33rd week,Karnataka,Tumkur,Chikungunya,48,1,18,8,2017,13.3400771,77.1006208,0.214207188,4.0,303.21,Chikungunya
2347,33rd week,Karnataka,Tumkur,Dengue,56,1,17,8,2017,13.3400771,77.1006208,0.434189903,4.0,303.21,Dengue
2348,33rd week,Meghalaya,West Garo Hills,Chikungunya,33,1,22,6,2017,25.60631425,90.21139055,1.142944984,25.0,297.87,Chikungunya
2349,33rd week,Meghalaya,West Garo Hills,Dengue,126,1,7,6,2017,25.60631425,90.21139055,1.115118557,34.0,299.75,Dengue
2350,33rd week,Maharashtra,Nagpur,Chikungunya,38,1,18,8,2017,21.1498134,79.0820556,0.120525723,10.0,302.21,Chikungunya
2351,33rd week,Maharashtra,Satara,Dengue,26,1,18,8,2017,17.63612885,74.29827808,0.104541018,8.0,307.5133334,Dengue
2352,33rd week,Madhya Pradesh,Khandwa,Chikungunya,65,1,14,8,2017,21.9778642,76.56882823,0.1238963,11.0,301.03,Chikungunya
2353,33rd week,Madhya Pradesh,Morena,Dengue,18,0,11,8,2017,26.166667,77.5,0.774470113,7.0,302.38,Dengue
2354,33rd week,Rajasthan,Kota,Acute Diarrhoeal Disease,49,1,11,8,2017,25.1737019,75.8574194,0.819454888,8.0,291.7,Diarrheal Diseases
2355,33rd week,Tamil Nadu,Thiruvallur,Dengue,20,0,16,8,2017,13.13014755,79.92435386,0.486309422,6.0,306.34,Dengue
2356,33rd week,Tamil Nadu,Madurai,Chikungunya,72,0,16,8,2017,9.9261153,78.1140983,0.362212498,6.0,313.34000000000003,Chikungunya
